suburb,postcode,state
East Albury,2640,NSW
Lavington,2641,NSW
Glenroy,2640,NSW
Albury,2640,NSW
North Albury,2640,NSW
Table Top,2640,NSW
Splitters Creek,2640,NSW
West Albury,2640,NSW
Springdale Heights,2641,NSW
Thurgoona,2640,NSW
South Albury,2640,NSW
Wirlinga,2640,NSW
Hamilton Valley,2641,NSW
Jindera,2642,NSW
Armidale,2350,NSW
Boorolong,2350,NSW
Dumaresq,2350,NSW
Duval,2350,NSW
Donald Creek,2350,NSW
Black Mountain,2365,NSW
Aberfoyle,2350,NSW
Thalgarrah,2350,NSW
Wollomombi,2350,NSW
Jeogla,2350,NSW
Ebor,2453,NSW
Dangarsleigh,2350,NSW
Metz,2350,NSW
Hillgrove,2350,NSW
Castle Doyle,2350,NSW
Enmore,2350,NSW
Lower Creek,2440,NSW
Carrai,2440,NSW
Tilbuster,2350,NSW
Kellys Plains,2350,NSW
Wongwibinda,2350,NSW
Lyndhurst,2350,NSW
Puddledock,2350,NSW
Croydon Park,2133,NSW
Croydon,2132,NSW
Ashfield,2131,NSW
Haberfield,2045,NSW
Summer Hill,2130,NSW
Hurlstone Park,2193,NSW
Ashbury,2193,NSW
Guyong,2798,NSW
Newington,2127,NSW
Lidcombe,2141,NSW
Berala,2141,NSW
Auburn,2144,NSW
Sydney Olympic Park,2127,NSW
Silverwater,2128,NSW
Regents Park,2143,NSW
Wentworth Point,2127,NSW
Rookwood,2141,NSW
East Ballina,2478,NSW
Tintenbar,2478,NSW
Cumbalum,2478,NSW
Broken Head,2481,NSW
Lennox Head,2478,NSW
Newrybar,2479,NSW
Knockrow,2479,NSW
Skennars Head,2478,NSW
Wardell,2477,NSW
West Ballina,2478,NSW
Alstonvale,2477,NSW
East Wardell,2477,NSW
Wollongbar,2477,NSW
Bagotville,2477,NSW
Ballina,2478,NSW
Fernleigh,2479,NSW
Meerschaum Vale,2477,NSW
Keith Hall,2478,NSW
South Ballina,2478,NSW
Teven,2478,NSW
Alstonville,2477,NSW
Cabbage Tree Island,2477,NSW
Goat Island,2477,NSW
Pimlico Island,2478,NSW
Pimlico,2478,NSW
Rous Mill,2477,NSW
Dalwood,2477,NSW
Marom Creek,2480,NSW
Patchs Beach,2478,NSW
Rous,2477,NSW
Lynwood,2477,NSW
Uralba,2477,NSW
Empire Vale,2478,NSW
Tuckombil,2477,NSW
Brooklet,2479,NSW
Coolgardie,2478,NSW
McLeans Ridges,2480,NSW
Euston,2737,NSW
Balranald,2715,NSW
Hatfield,2715,NSW
Oxley,2711,NSW
Ivanhoe,2878,NSW
Mossgiel,2878,NSW
Corrong,2711,NSW
Arumpo,2715,NSW
Hornsby,2077,NSW
Clare,2711,NSW
Kyalite,2715,NSW
Mungo,2715,NSW
Booligal,2711,NSW
Condell Park,2200,NSW
Bankstown,2200,NSW
Punchbowl,2196,NSW
Mount Lewis,2190,NSW
Greenacre,2190,NSW
Yagoona,2199,NSW
Chullora,2190,NSW
Bonny Hills,2445,NSW
Georges Hall,2198,NSW
Villawood,2163,NSW
Bass Hill,2197,NSW
Chester Hill,2162,NSW
Sefton,2162,NSW
Revesby,2212,NSW
Lansdowne,2163,NSW
Potts Hill,2143,NSW
Birrong,2143,NSW
Bankstown Aerodrome,2200,NSW
Milperra,2214,NSW
East Hills,2213,NSW
Panania,2213,NSW
Picnic Point,2213,NSW
Revesby Heights,2212,NSW
Padstow,2211,NSW
Padstow Heights,2211,NSW
Eglinton,2795,NSW
West Bathurst,2795,NSW
Bathurst,2795,NSW
South Bathurst,2795,NSW
Kelso,2795,NSW
Raglan,2795,NSW
Mount Panorama,2795,NSW
Mitchell,2795,NSW
White Rock,2795,NSW
Windradyne,2795,NSW
Gormans Hill,2795,NSW
Orton Park,2795,NSW
Forest Grove,2795,NSW
Llanarth,2795,NSW
Abercrombie,2795,NSW
Robin Hill,2795,NSW
Laffing Waters,2795,NSW
Georges Plains,2795,NSW
Wimbledon,2795,NSW
Wisemans Creek,2795,NSW
Charlton,2795,NSW
Curragh,2795,NSW
Abercrombie River,2795,NSW
Caloola,2795,NSW
Copperhannia,2795,NSW
Colo,2795,NSW
Arkell,2795,NSW
Cow Flat,2795,NSW
Fosters Valley,2795,NSW
Trunkey Creek,2795,NSW
Triangle Flat,2795,NSW
Meadow Flat,2795,NSW
Millah Murrah,2795,NSW
Wiagdon,2795,NSW
Clear Creek,2795,NSW
Upper Turon,2795,NSW
Sunny Corner,2795,NSW
Yetholme,2795,NSW
Locksley,2795,NSW
Milkers Flat,2795,NSW
Sallys Flat,2850,NSW
Kirkconnell,2795,NSW
Gemalla,2795,NSW
