air_date,card
"Sep 29th, 2022","CHUCK LORRE PRODUCTIONS #712
In a recent televised debate, the two candidates running for the office of Los Angeles County Sheriff vigorously argued and attacked one another. At times it got ugly. But then the debate moderator asked them what their favorite TV show was. They both said “The Big Bang Theory,” then laughed and high-fived one another. Naturally, I was delighted. The Sheriff’s department operates the seven big jails in L.A. County. If things go horribly wrong in my life, I might be able to swap a fleece-lined show jacket for a room with a view — no matter who wins the election."
"Sep 26th, 2022","CHUCK LORRE PRODUCTIONS #711
Watching the funeral of QE2, I can’t help thinking that before I go in the ground, it’d be nice to lie in state for a couple of days. (I know the Jewish tradition insists on a quick internment, but I’m sure there’s a rabbinical workaround with dry ice.) I also like the slow- moving mourners’ queue that, depending on gender identification, ends with a bow or curtsy. (I would ask those people who identify as non- binary to pay their respects with some other physical gesture. Maybe a quick robot or salsa dance move.) And instead of a scepter, orb and crown on top of my box, I’d like a simple key lime pie. Finally, when it’s time to go to the cemetery, please don’t make my dog sit and watch the hearse drive by like they did with the queen’s corgis. That’s just heartbreaking. Get somebody to take him to the beach to play fetch.
Oh, one more thing. There should be lying-in-state music. I’m a big fan of a pretty woman in a long black gown playing the cello. It’s elegant, sad as hell, and way cheaper than John Legend."
"Sep 19th, 2022","CHUCK LORRE PRODUCTIONS #710
I recently underwent a medical procedure that allowed me to see video of my heart beating. I found myself filled with gratitude towards this miraculous muscle that has kept me alive for almost seventy years. Without thinking, I said thank you and apologized for having mistreated it in the past. The technician performing the procedure looked up and asked if I was alright. I explained that I was thanking my heart for a job well done and making an amends of sort. She smiled and said she liked the Charlie Sheen Two and a Half Men better than the Ashton Kutcher version. Unbothered, my heart just kept beating."
"May 23rd, 2022",CHUCK LORRE PRODUCTIONS #709 Ę seun pe ę wo eto wa.
"May 19th, 2022",CHUCK LORRE PRODUCTIONS #708
"May 19th, 2022","CHUCK LORRE PRODUCTIONS #707
On behalf of everyone on Young Sheldon, thank you for watching. We know you have many choices. Boy oh boy, do you have choices. It’s crazy to think how many choices you have. In fact, some people think there are too many choices. Browsing through the endless offerings on streaming sites can feel like being hungry in a supermarket. Despite the beautifully displayed cornucopia, you often leave frustrated and empty-handed. Or worse, furtively eating an old bag of cookies in the produce aisle. So once again, thank you for choosing to watch Young Sheldon. A happy meal. And, unlike streaming, a free meal. Unless you assign a dollar value to the nine minutes you spent watching com- mercials. Just for the heck of it, let’s say it’s eleven cents. Not quite free cheese samples in the supermarket, but pretty darn close."
"May 16th, 2022","CHUCK LORRE PRODUCTIONS #706
I believe that the best way to free oneself from anger, is to pray for the welfare of those who cause that anger. For example, “God, please give Vladimir Putin everything he needs to feel happy and loved.” I know it’s counter-intuitive, but given enough time and repetition, it actually works. One day, you wake up and realize the toxic anger has been miraculously replaced with a sense of peace. A neutral equanimi- ty from which you can make rational decisions that effectively respond to, or ignore, malicious behavior. To be honest, I’m not sure if this is an actual spiritual practice, or simply a means to reroute neuronal pathways that are otherwise hardwired for the debilitating flow of negative emotions like hatred and rage. It probably doesn’t matter. The result is the same. Which means I’m eventually going to be groovy with Mitch McConnell."
"May 9th, 2022","CHUCK LORRE PRODUCTIONS #705
9 AM - May 5, 2022
I have a vanity card due today.  I haven’t written anything yet.
8 AM - 1963
I am feverishly doing my homework on the bus to school.
9:12 AM - May 5, 2022
Speaking of 1963, my fifth grade teacher, Mr. Penzel, used to put up catchy truisms where we’d be sure to read them - under the clock. One was, “Procrastination is the thief of time.”
I can’t believe that has stayed with me all these years. I can’t be- lieve I’m still a victim of this crime. I can’t believe I remember Mr. Penzel. (I even remember his first name!)
Anyway, the bus is pulling up in front of Oak Drive Elementary School. Here is my sloppily written, rambling vanity card that barely gets a passing grade. Story of my life. Sorry, Irwin. You tried."
"May 2nd, 2022","CHUCK LORRE PRODUCTIONS #704
I’d like to take this opportunity to thank you for watching network TV. There was a time when thanks were not necessary. Network TV was your only choice. Oh sure, there were local television stations, but they mainly existed to provide you with local news and Plan 9 From Outer Space. If one were to take a karmic view of things, one might think that the rapidly diminishing reach of network TV is the in- evitable result of inferior shows. Ignoring the obnoxious use of the word “one”, that doesn’t explain Norman Lear, Steven Bochco, the Charles brothers, Jerry Seinfeld and Dharma & Greg. Another possible villain in this story of tragic decline could be commercials. Since the dawn of network television, the audience was entertained for free. You paid with your attention. Now, with streaming television, your attention is mostly irrelevant. You pay with money. Which makes me wonder, what would network TV look like if it dumped the commercials and charged viewers a small monthly fee (personally, I would gladly fork over a few bucks to never again see that %&@! Australian gecko). But that’s not likely to happen. Giant corporations don’t pivot. They lumber. They trudge. They slog. That said, network TV has been extremely good to me. So, once again, thanks for watching!"
"Apr 21st, 2022","CHUCK LORRE PRODUCTIONS #703
I still read newspapers. By that I mean actual newspapers. Yes, I have the related apps on my phone and laptop, but I only use them on the odd mornings when the papers are delivered late, or, God forbid, not at all. My reasoning is simple. I enjoy holding paper. Turning pages. Folding pages. Doing the daily Jumble with a pen in order to access my cognitive abilities. Trying not to read the obits. Seeking out my favorite opinion writers to laugh or see what I think (Maureen Dowd! Thomas L. Friedman!). I get two papers delivered every morn- ing. The Los Angeles Times and the New York Times - despite the fact that the NYT has never had one good thing to say about me. Seriously, thirty years, not one &@#$ing thing. But I forgive them. Partly be- cause they are the paper of record. But mostly because of Maureen Dowd. Anyway, I fully recognize my anachronistic behavior. But I’m okay with it. Every day these two papers give me a glimpse into this wonderful, horrifying world. And let’s face it, you can’t line the birdcage with an iPad."
